username,division,score,place,match_id
SnapDragon,1,1381.02,1,14294
ftc,1,1367.63,2,14294
eireksten,1,1322.7,3,14294
Orfest,1,1305.95,4,14294
Jan_Kuipers,1,1280.34,5,14294
neal_wu,1,679.64,1,14153
orangenius,2,1280.04,1,14153
rng_58,1,666.09,2,14153
Eledven,2,1271.17,2,14153
ploh,1,659.48,3,14153
valdem,2,1227.32,3,14153
ainu7,1,657.2,4,14153
HeroFay,2,1179.64,4,14153
RAVEman,1,653.62,5,14153
Alireza.bh,2,1142.48,5,14153
Gluk,1,1571.23,1,14278
battyone,1,1502.19,2,14278
msg555,1,1481.08,3,14278
-1,1,1463.1,4,14278
Gigz,1,1449.43,5,14278
bmerry,1,1216.18,1,14280
rng_58,1,1165.13,2,14280
SergeiRogulenko,1,1053.93,3,14280
Petr,1,1048.78,4,14280
ACRush,1,873.21,5,14280
ZorbaTHut,1,1150.49,1,4022
hilfiger,2,663.06,1,4022
dmwright,1,1125.25,2,4022
dvickrey,2,655.96,2,4022
RachaelLCook,1,1123.89,3,4022
wybili,2,626.8,3,4022
NGBronson,1,1115.18,4,4022
aegis,2,618.02,4,4022
doeth,1,685.95,5,4022
lbackstrom,2,614.7,5,4022
UdH-WiNGeR,1,1643.36,1,14155
ahxun2006,2,1694.39,1,14155
Petr,1,1418.58,2,14155
AirCube,2,1522.44,2,14155
neal_wu,1,1293.34,3,14155
Liaksiejka,2,1462.37,3,14155
hanshuai,1,1275.3,4,14155
ll931110,2,1427.29,4,14155
embe,1,1239.03,5,14155
birbbit,2,1399.59,5,14155
jialin,1,910.59,1,14154
Artishok,2,852.46,1,14154
lyrically,1,848.3,2,14154
cyph1e,2,827.71,2,14154
Onufry,1,694.45,3,14154
darkcoquelicot,2,821.58,3,14154
RAVEman,1,646.1,4,14154
wz12,2,805.92,4,14154
ainu7,1,638.56,5,14154
igor_kz,2,793.22,5,14154
ACRush,1,1604.98,1,14279
Petr,1,1571.81,2,14279
dzhulgakov,1,1552.08,3,14279
lyrically,1,1547.12,4,14279
wata,1,1451.45,5,14279
LayCurse,1,1455.44,1,14281
bmerry,1,1322.21,2,14281
ACRush,1,1157.54,3,14281
rng_58,1,1145.93,4,14281
dolphinigle,1,1091.2,5,14281
tourist,1,1184.29,1,14156
trueer,2,1564.7,1,14156
nika,1,1105.17,2,14156
Anton[SUrSU],2,669.96,2,14156
meret,1,1095.04,3,14156
navinag,2,621.31,3,14156
antoniowyn,1,882.89,4,14156
shelajev,2,618.27,4,14156
Egor,1,822.56,5,14156
birbbit,2,613.0,5,14156
Petr,1,1343.65,1,14185
bobloblaw,2,1503.18,1,14185
rem,1,1265.42,2,14185
han6,2,1250.35,2,14185
zhuojie,1,1232.29,3,14185
AztecWarrior,2,1128.81,3,14185
SkidanovAlex,1,1231.29,4,14185
tonyxty,2,1026.88,4,14185
Blue.Mary,1,1219.25,5,14185
rajatag12,2,840.96,5,14185
ACRush,1,1135.93,1,14186
senator,2,1473.39,1,14186
Petr,1,1045.25,2,14186
Cai0715,2,1376.79,2,14186
nika,1,696.13,3,14186
alexbft,2,1314.17,3,14186
arti_kz,1,662.31,4,14186
syntax_error,2,1314.11,4,14186
lyrically,1,650.99,5,14186
behrooz46,2,1309.94,5,14186
rng_58,1,1534.63,1,14157
rajatag12,2,1423.85,1,14157
wata,1,1395.88,2,14157
Oleg805,2,1305.15,2,14157
Petr,1,1319.89,3,14157
EvgSokolov,2,1274.37,3,14157
zhuojie,1,1293.4,4,14157
clocy,2,1261.57,4,14157
lyrically,1,1245.23,5,14157
jehad_buet,2,1193.31,5,14157
vlad89,1,1238.83,1,14282
Petr,1,1020.88,2,14282
tomekkulczynski,1,871.52,3,14282
AS1_PML30,1,632.66,4,14282
ACRush,1,564.41,5,14282
ACRush,1,770.02,1,14283
Petr,1,751.11,2,14283
bmerry,1,562.61,3,14283
tomekkulczynski,1,544.04,4,14283
RAD.,1,484.28,5,14283
RAVEman,1,664.96,1,14158
Hamster2,2,1183.33,1,14158
hhanger,1,612.87,2,14158
DDrone,2,1151.78,2,14158
wata,1,609.68,3,14158
shevchen,2,1107.61,3,14158
darnley,1,598.17,4,14158
StelZ40494,2,1078.03,4,14158
rng_58,1,588.4,5,14158
snowwolf_qzy,2,1075.91,5,14158
ACRush,1,1285.13,1,14187
syntax_error,2,1592.91,1,14187
nigulh,1,1173.0,2,14187
wphsucf,2,1460.85,2,14187
tourist,1,1129.44,3,14187
oleg_mm,2,1251.21,3,14187
Petr,1,1113.16,4,14187
alancobb,2,1173.22,4,14187
UdH-WiNGeR,1,923.35,5,14187
HHVFive,2,1100.42,5,14187
pparys,1,1085.34,1,14235
madshockie93,2,1246.39,1,14235
ACRush,1,776.47,2,14235
HIT-dark,2,1180.72,2,14235
Petr,1,745.59,3,14235
356341998,2,1128.37,3,14235
maksay,1,680.03,4,14235
yudaer,2,1101.07,4,14235
ainu7,1,670.32,5,14235
zouxun,2,1072.73,5,14235
bmerry,1,510.49,1,14284
Louty,1,207.79,2,14284
Klinck,1,162.79,3,14284
syg96,1,157.6,4,14284
Vasyl[alphacom],1,154.13,5,14284
Petr,1,1319.47,1,14159
bupjae,2,1225.95,1,14159
slex,1,823.86,2,14159
SAPikachu,2,906.35,2,14159
