username,division,score,place,match_id
tourist,1,704.55,3,15711
satyasai100,2,1478.86,3,15711
flashmt,1,594.45,4,15711
karlicos,2,1458.84,4,15711
hirosegolf,1,591.45,5,15711
serhiyb,2,1403.65,5,15711
Egor,1,1397.47,1,15836
yuya_n,2,1507.39,1,15836
VArtem,1,1201.87,2,15836
ImbaOvertroll,2,1476.84,2,15836
cgy4ever,1,952.35,3,15836
VelixadexXx,2,1447.56,3,15836
Blue.Mary,1,752.41,4,15836
karan.aggarwal,2,1171.29,4,15836
LayCurse,1,709.95,5,15836
AnandOza,2,1086.65,5,15836
tourist,1,2036.71,1,15828
glassices,1,1834.16,2,15828
Petr,1,1066.81,3,15828
[[iwi]],1,956.79,4,15828
Mimino,1,747.43,5,15828
yeputons,1,1121.83,1,15712
Alex_2oo8,2,1473.65,1,15712
misl4av,1,892.31,2,15712
tmbao,2,1390.44,2,15712
niyaznigmatul,1,764.14,3,15712
intermission,2,1352.07,3,15712
wata,1,735.55,4,15712
ponyopoppo,2,1276.96,4,15712
tourist,1,677.38,5,15712
forthright48,2,1262.15,5,15712
Petr,1,1554.16,1,15837
Hwhitetooth,2,1409.67,1,15837
Zlobober,1,1112.9,2,15837
bosco89,2,1225.35,3,15837
Egor,1,1061.27,3,15837
triploblastic,2,1096.46,4,15837
tourist,1,844.9,4,15837
an2bug,2,1000.41,5,15837
sky58,1,810.96,5,15837
mohit.829,2,874.51,6,15837
lyrically,1,637.58,1,15820
657228726,2,1374.37,1,15820
Voover,1,540.43,2,15820
Um_nik,2,1148.45,2,15820
yeputons,1,529.16,3,15820
Aleksander94,2,1077.31,3,15820
fhlasek,1,513.26,4,15820
petryo,2,1044.05,4,15820
niyaznigmatul,1,510.11,5,15820
ashashwat,2,810.58,5,15820
tomek,1,852.55,1,15840
enrevol,2,1136.24,1,15840
K.A.D.R,1,776.86,2,15840
Light_bringer,2,1103.22,2,15840
Petr,1,746.16,3,15840
chffy,2,1088.16,3,15840
tourist,1,720.33,4,15840
zhangchenxu,2,1035.73,4,15840
Gassa,1,680.34,5,15840
imrankane2005,2,986.34,5,15840
semiexp,1,1207.92,1,15838
pankaj_cdr1,2,724.65,1,15838
Nerevar,1,1114.36,2,15838
sanchit.h,2,713.28,2,15838
VArtem,1,1049.66,3,15838
rais.fathin38,2,713.26,3,15838
darnley,1,914.34,4,15838
hossameldeenfci,2,699.09,4,15838
Ra16bit,1,820.78,5,15838
praba4640,2,686.62,5,15838
pieguy,1,1187.79,1,15839
ForeverZyh,2,1640.61,1,15839
goie,1,1120.04,2,15839
ngmq_fpt,2,1374.5,2,15839
Lunarmony,1,689.03,3,15839
MDantas,2,1341.87,3,15839
tomek,1,686.92,4,15839
kphmd,2,1284.04,4,15839
Gassa,1,673.82,5,15839
sdyy1990,2,1265.55,5,15839
cgy4ever,1,1205.38,1,15842
akovski,2,1682.1,1,15842
nika,1,1124.13,2,15842
msh_shiplu,2,1667.57,2,15842
Vasyl[alphacom],1,1115.79,3,15842
sahilarora946,2,1629.48,3,15842
IvayloS,1,772.97,4,15842
sn006,2,1629.0,4,15842
Gassa,1,739.29,5,15842
mohammadrdeh,2,1594.96,5,15842
SkidanovAlex,1,1148.27,1,15843
Hasan0540,2,1341.8,1,15843
AstroConjecture,1,1126.53,2,15843
albert96,2,878.29,2,15843
scott_wu,1,1093.01,3,15843
jhhan9428,2,816.51,3,15843
ir5,1,1053.24,4,15843
s1190048,2,740.67,4,15843
pparys,1,1037.71,5,15843
sanchit.h,2,698.53,5,15843
dgarthur,1,1236.98,1,4085
DmdsNPrls99,2,1234.47,1,4085
NGBronson,1,1118.81,2,4085
ValD,2,1191.94,2,4085
benetin,1,999.68,3,4085
ck,2,1189.9,3,4085
Echo,1,956.8,4,4085
pollito811,2,1175.83,4,4085
John Dethridge,1,871.82,5,4085
eaglej,2,1153.72,5,4085
RachaelLCook,1,1353.83,1,4080
John Dethridge,2,1672.8,1,4080
ambrose,1,1279.49,2,4080
StefanPochmann,2,1614.45,2,4080
kalmes,1,1226.92,3,4080
iamyou,2,1606.35,3,4080
anr,1,1200.73,4,4080
mozhiyan,2,1600.04,4,4080
jasonw,1,1171.12,5,4080
halflife,2,1580.18,5,4080
NGBronson,1,1360.71,1,4090
SnapDragon,2,1523.54,1,4090
John Dethridge,1,1260.49,2,4090
mcarland,2,1391.82,2,4090
ante,1,1257.66,3,4090
e-Motion,2,1385.04,3,4090
ZandMaster,1,1184.24,4,4090
mathewsb,2,1347.23,4,4090
greyhound,1,1173.73,5,4090
mrdad2u,2,1335.6,5,4090
malpt,1,1068.24,1,63
ZorbaTHut,1,1035.12,2,63
DjinnKahn,1,1032.29,3,63
bigg_nate,1,1032.24,4,63
dmwright,1,773.61,5,63
henchq,1,1101.3,1,4100
jesser,2,1288.94,1,4100
dangelo,1,928.01,2,4100
sriram,2,1214.66,3,4100
evd,1,790.51,3,4100
tdavis34,2,1200.95,4,4100
bigg_nate,1,749.3,4,4100
emcee,2,1187.06,5,4100
Zaen,1,663.87,5,4100
Ninjak,2,1155.77,6,4100
tourist,1,1159.88,1,15844
bakusou,2,1525.21,1,15844
bmerry,1,746.69,2,15844
kagamine.rin,2,1370.07,2,15844
WJMZBMR,1,682.31,3,15844
zgg,2,1314.41,3,15844
xyz111,1,617.03,4,15844
747929791,2,1199.67,4,15844
Baz93,1,589.75,5,15844
D_megaMind,2,1156.64,5,15844
ambrose,1,1570.58,1,4105
Corrinado,2,1210.52,1,4105
reid,1,1550.41,2,4105
C8H10N4O2,2,1150.53,2,4105
John Dethridge,1,1522.84,3,4105
Kniht,2,1146.03,3,4105
dmwright,1,1464.06,4,4105
[UCF]Pawn,2,1134.64,4,4105
benetin,1,1455.94,5,4105
NeoTuri,2,1131.4,5,4105
WJMZBMR,1,1419.45,1,15841
andyooo,2,1515.45,1,15841
Petr,1,1232.35,2,15841
Moustafamaher,2,1457.51,2,15841
ainu7,1,1221.11,3,15841
98943mek,2,1453.19,3,15841
tomek,1,1185.91,4,15841
piton4k,2,1434.85,4,15841
mR.ilchii,1,1121.88,5,15841
ztxz16,2,1412.1,5,15841
ZorbaTHut,1,1390.45,1,4095
DreamShake,2,1527.15,1,4095
John Dethridge,1,1360.3,2,4095
relnev,2,1458.55,2,4095
Wasteland,1,1152.16,3,4095
BigBen79,2,1443.66,3,4095
etolson,1,1143.82,4,4095
jamuraa,2,1383.65,4,4095
dvickrey,1,1132.47,5,4095
TangentZ,2,1285.6,6,4095
evd,1,1152.03,1,4110
venco,2,1651.44,1,4110
NGBronson,1,1130.16,2,4110
cem1834,2,1651.01,2,4110
John Dethridge,1,1077.65,3,4110
infrared,2,1649.46,3,4110
benetin,1,1068.57,4,4110
Moose,2,1639.74,4,4110
obfuscator,1,613.79,5,4110
akhil_bansal,2,1631.84,5,4110
SnapDragon,1,1483.3,1,4115
joexner,2,1516.2,1,4115
dmwright,1,1408.41,2,4115
antimatter,2,1441.0,2,4115
NGBronson,1,1381.71,3,4115
brpy,2,1370.79,3,4115
dgoodman,1,1198.36,4,4115
Debug,2,1299.87,4,4115
obfuscator,1,1189.11,5,4115
zhliu,2,1248.98,5,4115
Altrag,1,1170.2,1,4097
Ninjak,2,1752.81,1,4097
ambrose,1,1159.53,2,4097
Larry,2,1751.96,2,4097
sjelkjd,1,1145.77,3,4097
wcbarksdale,2,1717.9,3,4097
dvickrey,1,1118.09,4,4097
C8H10N4O2,2,1708.04,4,4097
Sord,1,1113.81,5,4097
memetic,2,1697.64,6,4097
malpt,1,845.81,1,66
po,1,518.11,2,66
milhouse,1,469.77,3,66
ante,1,168.6,4,66
dmwright,1,1168.21,1,4125
b0b0b0b,2,1522.93,1,4125
SnapDragon,1,1164.04,2,4125
bliant,2,1375.74,2,4125
ZorbaTHut,1,1135.06,3,4125
coderlemming,2,1358.01,3,4125
Joe,1,1125.47,4,4125
summerstar,2,1333.79,4,4125
NGBronson,1,1020.65,5,4125
jonmoon,2,1322.63,5,4125
dmwright,1,1434.1,1,4120
cd21,2,1385.81,1,4120
Logan,1,1357.58,2,4120
the_lark,2,1371.0,2,4120
eduar09,1,1356.25,3,4120
Moose,2,1347.9,3,4120
NGBronson,1,1332.36,4,4120
SparkyB,2,1340.23,4,4120
malpt,1,1274.74,5,4120
yuranlu,2,1313.35,5,4120
derkuci,1,600.27,1,64
DjinnKahn,1,466.07,2,64
ambrose,1,180.11,3,64
zoidal,1,93.3,4,64
dmwright,1,493.25,1,68
derkuci,1,278.56,2,68
malpt,1,227.96,3,68
Joe,1,0.0,4,68
Joe,1,510.29,1,67
Wasteland,1,489.36,2,67
ZorbaTHut,1,475.69,3,67
evd,1,449.66,4,67
reid,1,1318.64,1,4136
Slamin,2,810.02,1,4136
Yarin,1,1226.13,2,4136
radeye,2,653.18,3,4136
dsp,1,1196.13,3,4136
RobertNix,2,609.37,4,4136
ambrose,1,1107.12,4,4136
Virtual,2,603.09,5,4136
Maris,1,908.29,5,4136
pogsworth,2,593.84,6,4136
reid,1,1274.0,1,4140
ddwsdl,2,1586.44,1,4140
dsp,1,1266.95,2,4140
tommyv,2,1583.99,2,4140
NGBronson,1,1265.95,3,4140
LehooZeher,2,1577.21,3,4140
ZorbaTHut,1,1262.36,4,4140
cbthiess,2,1547.52,4,4140
Yarin,1,1242.05,5,4140
monteith,2,1533.38,5,4140
derkuci,1,1586.05,1,4145
BCSEiny,2,1493.95,1,4145
John Dethridge,1,1391.89,2,4145
DrewHudson,2,1482.97,2,4145
paisa,1,1349.42,3,4145
matrix0040,2,1402.25,3,4145
jasonw,1,1334.27,4,4145
akhil_bansal,2,1326.02,4,4145
ZandMaster,1,1331.05,5,4145
loopy,2,1325.26,5,4145
ZorbaTHut,1,1506.21,1,4155
BCSEiny,2,1554.37,1,4155
SnapDragon,1,1481.74,2,4155
green,2,1469.91,2,4155
John Dethridge,1,1447.43,3,4155
MEEP!,2,1469.3,3,4155
radeye,1,1443.89,4,4155
saoulons,2,1452.32,4,4155
malpt,1,1420.18,5,4155
eaglej,2,1413.84,5,4155
dmwright,1,1494.5,1,4160
Minsk,2,1370.61,1,4160
bigg_nate,1,1375.43,2,4160
dizzy,2,1340.53,2,4160
Yarin,1,1321.26,3,4160
dltc,2,1327.75,3,4160
evd,1,1182.94,4,4160
rgmisra,2,1281.81,4,4160
Zaen,1,1159.03,5,4160
Symme7ry,2,1255.12,5,4160
thekcc,1,1576.5,1,4150
kpsmith,2,1935.74,1,4150
DjinnKahn,1,1363.48,2,4150
Belle,2,1746.01,2,4150
C8H10N4O2,1,1291.34,3,4150
m_chen,2,1656.14,4,4150
benetin,1,1250.21,4,4150
router,2,1639.25,5,4150
StefanPochmann,1,1243.9,5,4150
bml137,2,1634.12,6,4150
Yarin,1,833.41,1,4165
TrekkyLeaper,2,1537.75,1,4165
ntrhieu,1,722.89,2,4165
Banzif,2,1484.31,2,4165
John Dethridge,1,697.17,3,4165
doh,2,1476.2,3,4165
insomnia,1,685.98,4,4165
maximuscranius,2,1470.13,4,4165
dmwright,1,605.25,5,4165
Belzedar,2,1457.18,5,4165
ZorbaTHut,1,1176.89,1,4170
indigo9,2,1441.44,1,4170
John Dethridge,1,1051.96,2,4170
Perlaze,2,1392.58,2,4170
Ken_Vogel,1,750.49,3,4170
bangfalse,2,1380.09,3,4170
ZandMaster,1,685.56,4,4170
Elernet,2,1368.43,4,4170
Yarin,1,670.8,5,4170
eaglej,2,1368.23,5,4170
reid,1,1160.36,1,4185
along,2,1315.0,1,4185
SnapDragon,1,873.09,2,4185
PongsriBunny,2,1310.73,2,4185
ZorbaTHut,1,802.75,3,4185
silvren,2,1211.7,3,4185
John Dethridge,1,717.77,4,4185
kolanovic,2,1152.53,4,4185
malpt,1,706.8,5,4185
mukund,2,1111.42,5,4185
kalmes,1,1422.5,1,4175
Ninjak,2,1557.1,1,4175
Brian,1,1404.28,2,4175
MEEP!,2,1511.63,2,4175
dmwright,1,1398.27,3,4175
Doughboy,2,1500.65,3,4175
NGBronson,1,1375.02,4,4175
pozdol,2,1391.71,4,4175
venco,1,1258.89,5,4175
jfreyss,2,1287.74,5,4175
SnapDragon,1,1467.8,1,4180
binaryni,2,1370.22,1,4180
dmwright,1,1274.79,2,4180
binky,2,1264.08,2,4180
ntrhieu,1,1171.08,3,4180
amadeus082,2,1232.99,3,4180
Maris,1,1123.79,4,4180
mike0625,2,1127.88,4,4180
reid,1,1088.45,5,4180
pogsworth,2,1045.37,5,4180
John Dethridge,1,1542.7,1,4195
mike0625,2,1583.39,1,4195
radeye,1,1491.92,2,4195
mbarb,2,1424.92,2,4195
dmwright,1,1227.11,3,4195
tperry,2,1419.06,3,4195
benetin,1,1166.99,4,4195
jello,2,1395.64,344,4195
Alexandre,1,1114.68,5,4195
Doughboy,2,1351.11,4,4195
reid,1,1510.98,1,4205
shelby,2,1441.31,1,4205
SnapDragon,1,1419.1,2,4205
qwj,2,1360.55,2,4205
John Dethridge,1,1374.02,3,4205
dimitrik314159,2,1244.56,3,4205
venco,1,1333.2,4,4205
axchma,2,1210.86,5,4205
RobertLu,1,1113.1,5,4205
boydp,2,1202.51,5,4205
SnapDragon,1,1480.36,1,4225
BanjoBill,2,1359.61,1,4225
RobertLu,1,1361.45,2,4225
eaglej,2,1244.91,2,4225
bigg_nate,1,1307.76,3,4225
monteith,2,1107.89,3,4225
doeth,1,1217.35,4,4225
dlenharth,2,1081.93,4,4225
Yarin,1,1210.45,5,4225
GotMilk,2,1048.17,5,4225
ZorbaTHut,1,1137.03,1,4200
Perlaze,2,1603.58,1,4200
DjinnKahn,1,1079.32,2,4200
jerschneid,2,1559.29,2,4200
John Dethridge,1,836.37,3,4200
legakis,2,1515.66,3,4200
insomnia,1,760.97,4,4200
ddwsdl,2,1501.13,4,4200
eduar09,1,758.18,5,4200
maikuru,2,1491.5,5,4200
SnapDragon,1,1514.88,1,4190
lars,2,1629.07,1,4190
bigg_nate,1,1240.87,2,4190
mbarb,2,1572.83,2,4190
dmwright,1,1183.35,3,4190
zhliu,2,1447.14,3,4190
ZorbaTHut,1,1140.03,4,4190
haha,2,1349.61,4,4190
evd,1,676.9,5,4190
ly2001,2,1204.36,5,4190
radeye,1,1450.82,1,4230
bstanescu,2,1213.28,1,4230
Yarin,1,1366.1,2,4230
db,2,1078.65,2,4230
benetin,1,1251.67,3,4230
seaniswise,2,1040.35,3,4230
John Dethridge,1,1172.89,4,4230
vietchau,2,809.51,4,4230
ambrose,1,1093.96,5,4230
Mikaus,2,686.93,5,4230
Logan,1,1411.43,1,4210
Partorg,2,1403.64,2,4210
dangelo,1,1330.2,2,4210
leadhyena_inran,2,1330.82,3,4210
SnapDragon,1,1269.13,3,4210
stupidblinn,2,1286.31,4,4210
henchq,1,1237.57,4,4210
Running Wild,2,1274.97,5,4210
wybili,1,1206.55,5,4210
BanjoBill,2,1270.91,6,4210
radeye,1,1583.59,1,4220
"Min,lu",2,1262.55,1,4220
John Dethridge,1,1474.29,2,4220
bjacoke001,2,971.1,2,4220
SnapDragon,1,1386.82,3,4220
nullspace,2,871.51,3,4220
Yarin,1,1300.06,4,4220
BlueTDimly,2,772.73,4,4220
thekcc,1,1212.43,5,4220
rlaustin,2,744.95,5,4220
SnapDragon,1,1562.0,1,4235
koder,2,1455.38,1,4235
radeye,1,1416.19,2,4235
bml137,2,1442.73,2,4235
ZorbaTHut,1,1410.07,3,4235
Rustyoldman,2,1345.29,3,4235
Yarin,1,1224.36,4,4235
Mr.Sketch,2,1323.46,4,4235
Garzahd,1,1173.52,5,4235
verasen,2,1323.26,5,4235
SnapDragon,1,1339.77,1,4250
Pops,2,1398.22,1,4250
John Dethridge,1,1327.13,2,4250
leibniz,2,1362.75,2,4250
dmwright,1,1311.54,3,4250
dlenharth,2,1277.04,3,4250
venco,1,1233.64,4,4250
Gojira,2,1208.88,4,4250
dmwright,1,1114.91,1,65
Logan,1,566.59,2,65
ColinMacLeod,1,260.51,3,65
mathgodleo,1,1063.32,5,4250
swif0ne,2,1178.69,5,4250
bigg_nate,1,-50.0,4,65
SnapDragon,1,1300.7,1,4245
NPermyakov,2,1214.52,1,4245
radeye,1,1215.13,2,4245
n0vice,2,1165.23,2,4245
dmwright,1,1153.83,3,4245
FrodoB,2,1142.18,3,4245
RachaelLCook,1,641.88,4,4245
CrazyPenguin,2,1104.6,4,4245
Alexandre,1,636.95,5,4245
meragrin,2,1061.27,5,4245
radeye,1,1354.59,1,4270
drcode,2,1511.28,1,4270
bigg_nate,1,1238.48,2,4270
billy,2,1509.2,2,4270
Oblok,1,1227.23,3,4270
Lawrence444,2,1451.61,3,4270
ambrose,1,1173.23,4,4270
pmadden,2,1373.15,4,4270
venco,1,1098.13,5,4270
twf,2,1349.24,5,4270
ZorbaTHut,1,1419.53,1,4280
Spiffage,2,1304.79,1,4280
bigg_nate,1,1219.74,3,4280
madking,2,1217.95,3,4280
radeye,1,946.28,5,4280
slavik,2,1208.62,4,4280
NPermyakov,1,792.33,6,4280
RocketTeam,2,1207.94,5,4280
DjinnKahn,1,752.27,7,4280
pearl,2,1200.0,6,4280
John Dethridge,1,1325.7,1,4275
unsigned,2,692.01,1,4275
SnapDragon,1,1283.33,2,4275
adxm,2,638.65,2,4275
venco,1,1207.86,3,4275
fisher2000,2,608.52,3,4275
bstanescu,1,916.97,4,4275
chuchuva,2,589.45,4,4275
ntrhieu,1,654.47,5,4275
UFP2161,2,555.49,5,4275
radeye,1,1594.82,1,4240
jayberkenbilt,2,1225.59,1,4240
SnapDragon,1,1532.94,2,4240
seaniswise,2,1106.54,2,4240
reid,1,1445.8,3,4240
TAG,2,1076.65,3,4240
Yarin,1,1266.12,4,4240
bigjake,2,793.98,4,4240
benetin,1,1213.75,5,4240
anan,2,736.51,5,4240
ZorbaTHut,1,1611.91,1,4265
javaisthe_unwin,2,1676.42,1,4265
SnapDragon,1,1556.5,2,4265
kanliang,2,1383.38,2,4265
along,1,1497.69,3,4265
centipede80,2,1324.03,3,4265
WishingBone,1,1495.8,4,4265
gurgeous,2,1303.29,4,4265
lars,1,1347.79,5,4265
y,2,1288.7,5,4265
Yarin,1,1129.59,1,4255
box,2,1406.76,1,4255
ZorbaTHut,1,1075.44,2,4255
biomass,2,1386.89,2,4255
DjinnKahn,1,1005.33,3,4255
ddwsdl,2,1367.98,3,4255
XuChuan,1,617.62,4,4255
nhan,2,1343.86,4,4255
LunaticFringe,1,611.67,5,4255
jerschneid,2,1309.29,5,4255
radeye,1,1497.67,1,4285
vorthys,2,1404.82,1,4285
zoidal,1,1367.5,2,4285
puzzlehacker,2,955.7,2,4285
bstanescu,1,1364.99,3,4285
n0vice,2,820.68,4,4285
venco,1,1362.09,4,4285
taxi,2,813.86,5,4285
Yarin,1,1304.15,5,4285
Wombat80,2,800.3,6,4285
Yarin,1,1257.52,1,4290
bgalbs,2,1142.85,1,4290
NGBronson,1,1241.85,2,4290
fiddlybit,2,975.39,2,4290
ZorbaTHut,1,1210.36,3,4290
leelin,2,890.28,3,4290
uglyfool,1,1039.38,4,4290
Frostburn,2,823.7,4,4290
ambrose,1,806.41,5,4290
meragrin,2,690.77,5,4290
bstanescu,1,1421.7,1,4260
UFP2161,2,680.3,1,4260
Yarin,1,1347.74,2,4260
Olorin,2,659.68,2,4260
ZorbaTHut,1,1302.99,3,4260
weissman,2,658.33,3,4260
ShakeSpace,1,1077.79,4,4260
debaser,2,645.37,4,4260
RachaelLCook,1,848.79,5,4260
FrodoB,2,643.37,5,4260
SnapDragon,1,1401.95,1,4282
uglyfool,2,1245.53,1,4282
venco,1,1268.58,2,4282
leadhyena_inran,2,728.47,2,4282
ntrhieu,1,1177.97,3,4282
coquelicot,2,637.96,3,4282
ZorbaTHut,1,1134.54,4,4282
Frostburn,2,605.93,4,4282
radeye,1,1133.87,5,4282
outing,2,598.09,5,4282
NGBronson,1,1635.36,1,4325
venco,1,1612.27,2,4325
ZorbaTHut,1,1584.36,3,4325
bigg_nate,1,1538.97,4,4325
SnapDragon,1,1484.23,5,4325
reid,1,1312.65,1,4335
bstanescu,1,1192.32,2,4335
dangelo,1,1155.44,3,4335
daveagp,1,1150.13,4,4335
malpt,1,1139.68,5,4335
WishingBone,1,1359.5,1,4340
PAKETA,2,737.35,2,4340
DjinnKahn,1,1305.87,2,4340
Saradin,2,641.84,3,4340
StefanPochmann,1,1271.73,3,4340
rschutt,2,640.52,4,4340
jms137,1,1242.6,4,4340
jimbo54,2,573.66,5,4340
Yarin,1,1191.3,5,4340
mjzalewski,2,569.11,6,4340
John Dethridge,1,1039.72,1,4330
peterskim,2,1389.77,1,4330
Yarin,1,853.25,2,4330
qmfang,2,1149.1,2,4330
ZorbaTHut,1,733.65,3,4330
PAKETA,2,917.23,3,4330
dmwright,1,650.0,4,4330
Modulator,2,776.86,4,4330
SnapDragon,1,593.04,5,4330
slowjoe,2,773.74,5,4330
halflife,1,1136.5,1,4324
reid,1,1135.45,2,4324
John Dethridge,1,1120.1,3,4324
ambrose,1,1115.16,4,4324
dmwright,1,1109.01,5,4324
KurtSteinkraus,1,1411.97,1,4350
fvolny4,2,1320.33,1,4350
ZorbaTHut,1,1397.22,2,4350
ddv,2,1172.83,2,4350
WishingBone,1,1316.68,3,4350
Sambit,2,1157.71,3,4350
Yarin,1,1311.83,4,4350
Eeyore,2,1129.82,4,4350
uglyfool,1,1308.69,5,4350
{GOPRAS},2,1108.72,5,4350
SnapDragon,1,1279.29,1,4355
John Dethridge,1,1025.74,2,4355
ZorbaTHut,1,837.82,3,4355
ambrose,1,801.24,4,4355
dgarthur,1,746.14,5,4355
SnapDragon,1,1074.32,1,4360
Wombat80,2,1659.05,1,4360
Yarin,1,746.91,2,4360
sophisticate,2,1490.78,2,4360
Abednego,1,735.76,3,4360
j_johnso,2,1409.2,3,4360
venco,1,720.21,4,4360
ffluv,2,1363.96,4,4360
antimatter,1,704.24,5,4360
vesko8,2,1336.56,5,4360
ZorbaTHut,1,1472.93,1,4345
SnapDragon,1,1359.65,2,4345
John Dethridge,1,1344.45,3,4345
ante,1,1318.13,4,4345
jonmac,1,1264.28,5,4345
ZorbaTHut,1,1260.59,1,4365
sshakya,2,1274.48,3,4365
John Dethridge,1,1227.02,2,4365
mhewett,2,1176.26,4,4365
venco,1,1177.27,3,4365
pewloo,2,1160.66,5,4365
lars,1,1129.77,4,4365
slowjoe,2,1140.28,6,4365
SnapDragon,1,1114.33,5,4365
(Lx.xx)(Lx.xx),2,1055.11,7,4365
moira,1,487.01,1,4372
obfuscator,1,455.09,2,4372
NGBronson,1,291.3,3,4372
radeye,1,157.46,4,4372
SnapDragon,1,1140.23,1,4370
malpt,1,410.51,2,4370
ambrose,1,257.85,3,4370
kyky,1,0.0,4,4370
John Dethridge,1,502.93,1,4373
DjinnKahn,1,492.2,2,4373
jms137,1,348.09,3,4373
ZorbaTHut,1,190.94,4,4373
John Dethridge,1,766.53,1,4375
SnapDragon,1,716.24,2,4375
dgarthur,1,264.03,3,4375
moira,1,230.24,4,4375
Yarin,1,1381.5,1,4380
Ardant,2,1287.47,1,4380
SnapDragon,1,726.52,2,4380
MagicZhang,2,1119.66,3,4380
ambrose,1,699.22,3,4380
jbeninger,2,1056.72,4,4380
ntrhieu,1,696.2,4,4380
tgu,2,912.09,5,4380
radeye,1,682.51,5,4380
kesteloot,2,872.96,6,4380
NGBronson,1,1346.41,1,4400
outing,2,1459.72,1,4400
jms137,1,1244.97,2,4400
ps31,2,1453.82,2,4400
WishingBone,1,1137.1,3,4400
aditsu,2,1382.48,3,4400
lars,1,1119.44,4,4400
RalphFurmaniak,2,1365.66,4,4400
ValD,1,1085.97,5,4400
vesko8,2,1349.62,5,4400
NGBronson,1,735.19,1,4415
ChristopherH,2,1644.86,1,4415
Ken_Vogel,1,668.27,2,4415
PhilMartin,2,908.51,3,4415
bstanescu,1,661.92,3,4415
emmpee,2,835.98,4,4415
kyky,1,657.11,4,4415
kolanovic,2,732.77,5,4415
Logan,1,642.34,5,4415
Bytekeeper,2,704.08,6,4415
dgarthur,1,1009.82,1,4371
reid,1,546.03,2,4371
dmwright,1,172.39,3,4371
lars,1,167.75,4,4371
SnapDragon,1,1491.86,1,4405
wolf7,2,1354.53,1,4405
bstanescu,1,1325.41,2,4405
AdrianKuegel,2,1348.11,2,4405
DjinnKahn,1,1293.79,3,4405
Ag98,2,1334.06,3,4405
Yarin,1,778.24,4,4405
Greyve,2,1309.07,4,4405
ZorbaTHut,1,750.71,5,4405
mathman,2,1228.22,5,4405
ambrose,1,1312.58,1,4430
coshx,2,1272.58,1,4430
WishingBone,1,1295.37,2,4430
radeye,1,1210.25,1,4410
Wernie,2,1403.1,1,4410
venco,1,774.75,2,4410
PMH,2,1356.62,2,4410
Yarin,1,771.16,3,4410
bryanb2002,2,1315.43,3,4410
SnapDragon,1,764.35,4,4410
Cougar,2,1245.81,6,4410
Ken_Vogel,1,745.82,5,4410
DougFowley,2,1222.23,7,4410
monteith,2,1240.37,2,4430
Oblok,1,1278.76,3,4430
HappyMutant,2,1181.52,3,4430
ColinMacLeod,1,1273.28,4,4430
bcata,2,1164.42,4,4430
jms137,1,1162.33,5,4430
Olorin,2,766.68,5,4430
Yarin,1,1744.59,1,4456
MPhk,2,1611.9,1,4456
John Dethridge,1,1611.13,2,4456
Cosmin.ro,2,1606.97,2,4456
radeye,1,1567.35,3,4456
zetto,2,1596.85,3,4456
bstanescu,1,1384.85,4,4456
BryanChen,2,1568.91,4,4456
jms137,1,1363.93,5,4456
ak-s,2,1509.31,5,4456
radeye,1,660.0,1,4425
Dr.Gluk,2,1227.45,1,4425
ambrose,1,557.81,2,4425
zv,2,730.39,2,4425
vorthys,1,491.61,3,4425
InsaneParadox,2,674.87,3,4425
benetin,1,400.06,4,4425
Jan_Kuipers,2,672.19,4,4425
jms137,1,395.45,5,4425
dimkadimon,2,669.51,5,4425
John Dethridge,1,1370.7,1,4447
skanthak,2,1656.82,1,4447
ntrhieu,1,1165.87,2,4447
Running Wild,2,1593.69,2,4447
Maris,1,1057.37,3,4447
Dabei,2,1575.33,3,4447
benetin,1,1044.02,4,4447
Saradin,2,1523.33,4,4447
Yarin,1,928.04,5,4447
Mikael.Ernholm,2,1517.89,5,4447
SnapDragon,1,1394.08,1,4455
mr_nice_guy,2,1661.58,1,4455
bstanescu,1,1214.42,2,4455
MisterZimbu,2,1504.67,2,4455
antimatter,1,1180.61,3,4455
Dabei,2,1451.85,4,4455
WishingBone,1,1169.14,4,4455
JWizard,2,1368.38,5,4455
Oblok,1,1086.45,5,4455
abiczo,2,1358.79,6,4455
Yarin,1,1464.65,1,4450
Karshikinpa,2,1686.99,1,4450
SnapDragon,1,1273.1,2,4450
gepa,2,1577.66,2,4450
John Dethridge,1,1211.66,3,4450
yuer,2,1562.31,3,4450
po,1,1169.37,4,4450
Forsworn,2,1536.59,4,4450
LunaticFringe,1,1158.97,5,4450
kalinov,2,1534.0,5,4450
Yarin,1,1162.38,1,4457
frypan,2,1183.71,1,4457
tjq,1,787.13,2,4457
Eeyore,2,1034.85,2,4457
bmerry,1,766.02,3,4457
elwethingol,2,818.68,3,4457
ambrose,1,714.17,4,4457
cqlin,2,782.84,4,4457
haha,1,684.51,5,4457
stigant,2,770.31,5,4457
radeye,1,1145.64,1,4420
cruizza,2,1182.51,1,4420
Yarin,1,1124.69,2,4420
MisterZimbu,2,954.81,2,4420
WishingBone,1,853.6,3,4420
yuppienetworkin,2,884.52,3,4420
Ken_Vogel,1,597.57,5,4420
Gandi,2,724.51,4,4420
alex137,1,597.52,6,4420
philr,2,713.58,5,4420
WishingBone,1,1336.66,1,4466
John Dethridge,1,1218.46,2,4466
bmerry,1,1201.21,3,4466
Yarin,1,985.69,4,4466
Sparrow,1,792.79,,4466
