status,solution_id,match_id,language,problem_id
Success,21758810,13952,Java,10419
Success,22693196,13952,C#,10152
Success,22647787,13952,Java,10152
Success,22684375,13952,C++,10152
Success,22631071,13952,C#,10654
Success,22653660,13904,C#,10389
Success,22657324,13904,Java,10389
Success,22672276,13904,C++,10389
Success,22718258,13904,C#,10537
Success,22740212,13904,C++,10537
Success,22748855,13904,Java,10537
Success,8394868,13904,C++,10190
Success,22689544,13952,Java,10654
Success,22689544,13904,Java,10190
Success,7442498,13952,C++,10654
Success,22750953,13905,C++,10456
Success,22699303,13904,Java,10070
Success,21107258,13905,C#,10635
Success,22751282,13905,Java,10456
Success,22709345,13905,C++,10635
Success,22717415,13905,Java,10635
Success,8355516,13906,C++,10561
Success,22842274,13905,C++,10674
Success,22750981,13905,Java,10674
Success,10574855,13906,Java,10561
Success,22661554,13952,C#,10638
Success,284038,13902,C#,10615
Success,19849563,13952,C++,10638
Success,22790394,13902,VB,10616
Success,10574855,13903,C#,10549
Success,22833332,13903,VB,10546
Success,22837087,13903,C++,10550
Success,10574855,13903,C#,10548
Success,10574855,13903,C#,10551
Success,22700085,13903,C#,10547
Success,22755582,13902,C#,10618
Success,10574855,13902,C#,10619
Success,22836827,13902,C++,10620
Success,19849563,13902,C++,10619
Success,22731558,13902,Java,10618
Success,22696479,13902,C++,10618
Success,22777274,13901,C++,10579
Success,22827591,13903,C++,10547
Success,22698371,13901,Java,10579
Success,22359756,13903,Java,10547
Success,20463878,13903,C++,10548
Success,22639071,13903,Java,10548
Success,19849563,13903,C++,10551
Success,22221928,13903,Java,10551
Success,22831315,13903,C++,10546
Success,22700085,13903,C#,10546
Success,22359756,13903,Java,10546
Success,22838271,13903,Java,10550
Success,8355516,13903,C++,10549
Success,22689544,13903,Java,10549
Success,16056118,13902,C#,10616
Success,22821308,13902,C++,10616
Success,19849563,13902,C++,10615
Success,22828951,13902,Java,10616
Success,22680787,13902,Java,10615
Success,22689544,13952,Java,10638
Success,22769583,13901,C#,10578
Success,21378381,13901,VB,10578
Success,10574855,13902,C#,10617
Success,19849563,13901,C++,10581
Success,22678228,13900,C#,10516
Success,8355516,13935,C++,10418
Success,22721553,13751,C++,9995
Success,11787671,13935,C#,10587
Success,22692067,13901,C#,10580
Success,22790394,13901,VB,10577
Success,22690346,13899,C#,10513
Success,7442498,13935,C++,7832
Success,22683060,13899,VB,10511
Success,22833003,13900,C++,10573
Success,10574855,13898,C#,10238
Success,19849563,13898,C++,10238
Success,22653660,13935,C#,10377
Success,8355516,13900,C++,10508
Success,14949023,13900,Java,10573
Success,22724081,13899,C#,10511
Success,22655751,13899,C++,10511
Success,22752250,13899,Java,10511
Success,22731949,13899,Java,10513
Success,22221928,13935,Java,10377
Success,22831202,13899,C++,10513
Success,22221928,13935,Java,7832
Success,10574855,13901,C#,10577
Success,345114,13901,Java,10577
Success,22707682,13901,C++,10577
Success,22679686,13935,C++,10587
Success,22000369,13935,Java,10587
Success,22714517,13751,Java,9995
Success,21971539,13935,Java,10418
Success,8357090,13935,C++,10377
Success,20315020,13901,C++,10580
Success,14768757,13902,C++,10617
Success,20557229,13902,Java,10617
Success,21170029,13901,Java,10580
Success,22784156,13901,C++,10578
Success,22669247,13901,Java,10578
Success,22689544,13900,Java,10516
Success,14946025,13900,C++,10516
Success,15781230,13900,VB,10515
Success,10574855,13899,C#,10510
Success,8351731,13899,C++,10510
Success,14970299,13899,Java,10510
Success,15781032,13900,VB,10574
Success,22676038,13900,C#,10574
Success,22683060,13898,VB,10489
Success,22683060,13899,VB,10509
Success,15600311,13899,C#,10514
Success,14970299,13899,Java,10514
Success,8351731,13899,C++,10514
Success,15600311,13899,C#,10512
Success,10574855,13898,C#,10487
Success,22753605,13898,C++,10457
Success,22826089,13898,Java,10457
Success,7446789,13898,C++,10487
Success,22221928,13898,Java,10487
Success,22654575,13899,C++,10512
Success,22724081,13899,C#,10509
Success,22755004,13899,C++,10509
Success,22647787,13899,Java,10509
Success,22695800,13898,C#,10489
Success,22695485,13898,C++,10489
Success,22699948,13900,C++,10574
Success,22647787,13900,Java,10574
Success,22729120,13900,C#,10515
Success,22752836,13898,Java,10489
Success,22717415,13900,Java,10515
Success,22707682,13900,C++,10515
Success,10574855,13750,C#,4810
Success,7442498,13750,C++,4810
Success,22780004,13750,C++,10466
Success,15600311,13898,C#,10484
Success,22675302,13751,C++,10387
Success,22720177,13748,C#,10310
Success,10574855,13751,C#,10387
Success,22504795,13751,C++,10297
Success,107835,13751,C#,10297
Success,22763069,13751,VB,10505
Success,10574855,13751,C#,10486
Success,22639071,13750,C#,10274
Success,22675094,13765,C++,10430
Success,10574855,13750,C#,7891
Success,14883513,13750,VB,10465
Success,10574855,13764,C#,10413
Success,22824280,13750,C#,10465
Success,21684580,13750,C++,10465
Success,22221928,13765,Java,10430
Success,22707682,13750,C++,10274
Success,22695970,13750,Java,10274
Success,22714770,13750,Java,10465
Success,19849563,13750,C++,7891
Success,22732853,13751,C#,10505
Success,11829284,13750,Java,7891
Success,22731949,13751,Java,10505
Success,15657561,13751,C++,10486
Success,22221928,13751,Java,10486
Success,22755004,13751,C++,10505
Success,7390467,13748,C++,10310
Success,22689544,13748,Java,10310
Success,22717415,13751,Java,10297
Success,22263204,13898,C++,10484
Success,22689544,13751,Java,10387
Success,20557229,13898,Java,10484
Success,15881985,13750,Java,4810
Success,21928571,13750,Java,10466
Success,22821047,13749,C#,10469
Success,10574855,13749,C#,10463
Success,10574855,13764,C#,10401
Success,22763069,13749,VB,10376
Success,22675094,13765,C++,10422
Success,22726606,13749,C#,10468
Success,10574855,13764,C#,8774
Success,10574855,13748,C#,10386
Success,22741513,13749,C++,10468
Success,22685324,13748,C#,10309
Success,22269671,13747,C#,10380
Success,10574855,13749,C#,10375
Success,10574855,13748,C#,10005
Success,10574855,13698,C#,10336
Success,22774706,13748,C++,10289
Success,22724081,13748,C#,10288
Success,22626886,13748,C++,10288
Success,22679311,13698,C++,10336
Success,19849563,13749,C++,10459
Success,22689544,13749,Java,10459
Success,22221928,13698,Java,10336
Success,8527113,13748,C++,10005
Success,21971539,13748,Java,10005
Success,14764746,13748,Java,10288
Success,22700400,13747,C++,10380
Success,10574855,13749,C#,10459
Success,22755004,13748,C++,10309
Success,11829284,13749,Java,10375
Success,10157606,13749,C++,10375
Success,22742140,13748,Java,10309
Success,8394868,13748,C++,10386
Success,15805598,13748,Java,10386
Success,22504795,13764,C++,8774
Success,7452866,13764,Java,8774
Success,22697731,13749,Java,10468
Success,16058913,13749,C#,10376
Success,22777696,13749,Java,10376
Success,22701957,13749,C++,10376
Success,22630508,13749,C++,10463
