date,href,name
2001.07.02,http://community.topcoder.com//stat?c=round_overview&er=5&rd=3009,SRM 10
2001.06.28,http://community.topcoder.com//stat?c=round_overview&er=5&rd=3008,SRM 9
2001.06.26,http://community.topcoder.com//stat?c=round_overview&er=5&rd=3007,SRM 8
2001.06.24,http://community.topcoder.com//stat?c=round_overview&er=5&rd=3006,SRM 7
2001.06.18,http://community.topcoder.com//stat?c=round_overview&er=5&rd=3005,SRM 6
2001.06.13,http://community.topcoder.com//stat?c=round_overview&er=5&rd=3004,SRM 5
2001.06.07,http://community.topcoder.com//stat?c=round_overview&er=5&rd=2009,TCCC '01 Finals
2001.06.06,http://community.topcoder.com//stat?c=round_overview&er=5&rd=2008,TCCC '01 Semifinals 4
2001.06.06,http://community.topcoder.com//stat?c=round_overview&er=5&rd=2007,TCCC '01 Semifinals 3
2001.06.05,http://community.topcoder.com//stat?c=round_overview&er=5&rd=2006,TCCC '01 Semifinals 2
2001.06.05,http://community.topcoder.com//stat?c=round_overview&er=5&rd=2005,TCCC '01 Semifinals 1
2001.05.31,http://community.topcoder.com//stat?c=round_overview&er=5&rd=3003,SRM 4
2001.05.24,http://community.topcoder.com//stat?c=round_overview&er=5&rd=3002,SRM 3
2001.05.15,http://community.topcoder.com//stat?c=round_overview&er=5&rd=3001,SRM 2
2001.05.08,http://community.topcoder.com//stat?c=round_overview&er=5&rd=3000,SRM 1
2001.04.28,http://community.topcoder.com//stat?c=round_overview&er=5&rd=2002,TCCC '01 Round 3
2001.04.21,http://community.topcoder.com//stat?c=round_overview&er=5&rd=2001,TCCC '01 Round 2
2004.09.28,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5859,SRM 213
2004.09.25,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5858,SRM 212
2004.09.22,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5880,TCO04 Round 3
2004.09.14,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5879,TCO04 Round 2
2004.09.14,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5857,SRM 211
